module_category,component_category,date_repair,actual,predicted
M7,P09,2009/03,3,3
M7,P09,2009/04,6,3
M7,P09,2009/05,4,3
M7,P09,2009/06,4,4
M7,P09,2009/07,8,4
M7,P09,2009/08,4,3
M7,P09,2009/09,2,2
M7,P11,2009/01,2,2
M7,P11,2009/10,3,2
M7,P11,2009/11,2,2
M7,P11,2009/02,5,3
M7,P11,2009/03,2,3
M7,P11,2009/04,4,3
M7,P11,2009/05,5,3
M7,P11,2009/07,5,4
M7,P11,2009/08,3,4
M7,P11,2009/09,2,2
M7,P12,2009/01,79,79
M7,P12,2009/10,44,51
M7,P12,2009/11,80,50
M7,P12,2009/12,63,43
M7,P12,2009/02,82,78
M7,P12,2009/03,108,78
M7,P12,2009/04,83,76
M7,P12,2009/05,62,73
M7,P12,2009/06,57,97
M7,P12,2009/07,64,93
M7,P12,2009/08,56,89
M7,P12,2009/09,82,57
M7,P13,2009/01,63,96
M7,P13,2009/10,84,65
M7,P13,2009/11,104,62
M7,P13,2009/12,88,59
M7,P13,2009/02,64,90
M7,P13,2009/03,97,91
M7,P13,2009/04,75,91
M7,P13,2009/05,58,84
M7,P13,2009/06,78,108
M7,P13,2009/07,100,106
M7,P13,2009/08,77,104
M7,P13,2009/09,96,70
M7,P15,2009/01,4,6
M7,P15,2009/10,5,3
M7,P15,2009/11,2,3
M7,P15,2009/12,4,3
M7,P15,2009/02,6,6
M7,P15,2009/03,12,6
M7,P15,2009/04,3,6
M7,P15,2009/05,5,5
M7,P15,2009/06,7,5
M7,P15,2009/07,5,5
M7,P15,2009/08,2,6
M7,P15,2009/09,5,4
M7,P16,2009/01,20,19
M7,P16,2009/10,17,9
M7,P16,2009/11,14,9
M7,P16,2009/12,11,9
M7,P16,2009/02,20,19
M7,P16,2009/03,22,17
M7,P16,2009/04,17,16
M7,P16,2009/05,21,14
M7,P16,2009/06,19,19
M7,P16,2009/07,24,21
M7,P16,2009/08,19,19
M7,P16,2009/09,17,11
M7,P17,2009/01,3,2
M7,P17,2009/10,1,2
M7,P17,2009/11,1,2
M7,P17,2009/12,5,1
M7,P17,2009/02,3,3
M7,P17,2009/03,5,3
M7,P17,2009/04,1,3
M7,P17,2009/05,2,2
M7,P17,2009/06,1,3
M7,P17,2009/09,2,2
M7,P20,2009/01,14,14
M7,P20,2009/10,7,3
M7,P20,2009/11,5,3
M7,P20,2009/12,2,2
M7,P20,2009/02,19,12
M7,P20,2009/03,15,11
M7,P20,2009/04,12,9
M7,P20,2009/05,10,7
M7,P20,2009/06,7,8
M7,P20,2009/07,7,7
M7,P20,2009/08,9,5
M7,P20,2009/09,3,3
M7,P21,2009/01,6,4
M7,P21,2009/10,5,3
M7,P21,2009/11,2,3
M7,P21,2009/12,6,2
M7,P21,2009/02,4,3
M7,P21,2009/03,2,2
M7,P21,2009/04,2,3
M7,P21,2009/05,2,3
M7,P21,2009/06,3,4
M7,P21,2009/07,4,4
M7,P21,2009/08,10,4
M7,P21,2009/09,5,3
M7,P22,2009/01,1,3
M7,P22,2009/10,2,1
M7,P22,2009/11,1,1
M7,P22,2009/12,1,1
M7,P22,2009/02,1,3
M7,P22,2009/03,1,2
M7,P22,2009/05,2,1
M7,P22,2009/06,2,2
M7,P22,2009/09,1,1
M7,P24,2009/01,16,12
M7,P24,2009/10,1,1
M7,P24,2009/11,4,1
M7,P24,2009/02,13,10
M7,P24,2009/03,13,8
M7,P24,2009/04,7,6
M7,P24,2009/05,3,4
M7,P24,2009/06,4,5
M7,P24,2009/07,1,4
M7,P24,2009/08,3,3
M7,P24,2009/09,2,1
M7,P26,2009/01,195,269
M7,P26,2009/10,194,168
M7,P26,2009/11,262,163
M7,P26,2009/12,223,148
M7,P26,2009/02,186,250
M7,P26,2009/03,255,249
M7,P26,2009/04,249,250
M7,P26,2009/05,163,230
M7,P26,2009/06,214,300
M7,P26,2009/07,231,292
M7,P26,2009/08,215,278
M7,P26,2009/09,231,183
M7,P28,2009/01,30,11
M7,P28,2009/10,7,2
M7,P28,2009/11,7,2
M7,P28,2009/12,2,2
M7,P28,2009/02,15,9
M7,P28,2009/03,11,8
M7,P28,2009/04,8,7
M7,P28,2009/05,4,5
M7,P28,2009/06,8,5
M7,P28,2009/07,9,4
M7,P28,2009/08,10,4
M7,P28,2009/09,4,2
M7,P30,2009/10,1,1
M7,P30,2009/11,2,0
M7,P30,2009/03,2,1
M7,P30,2009/04,2,1
M7,P30,2009/05,1,1
M7,P30,2009/08,1,1
M7,P30,2009/09,1,1
M7,P31,2009/01,2,2
M7,P31,2009/10,2,0
M7,P31,2009/02,2,1
M7,P31,2009/03,1,1
M7,P31,2009/04,1,1
M7,P31,2009/05,3,1
M7,P31,2009/06,4,1
M7,P31,2009/08,1,0
M7,P31,2009/09,1,0
M8,P04,2009/01,5,6
M8,P04,2009/10,2,3
M8,P04,2009/02,11,5
M8,P04,2009/03,9,4
M8,P04,2009/04,6,3
M8,P04,2009/05,2,3
M8,P04,2009/07,1,4
M8,P04,2009/08,2,4
M8,P04,2009/09,1,3
M8,P06,2009/01,40,69
M8,P06,2009/10,5,9
M8,P06,2009/11,7,7
M8,P06,2009/12,8,6
M8,P06,2009/02,41,51
M8,P06,2009/03,38,38
M8,P06,2009/04,16,29
M8,P06,2009/05,26,24
M8,P06,2009/06,14,27
M8,P06,2009/07,11,23
M8,P06,2009/08,13,20
M8,P06,2009/09,18,11
M8,P09,2009/01,22,25
M8,P09,2009/10,6,3
M8,P09,2009/11,2,2
M8,P09,2009/12,3,2
M8,P09,2009/02,20,17
M8,P09,2009/03,16,12
M8,P09,2009/04,7,8
M8,P09,2009/05,5,6
M8,P09,2009/06,4,7
M8,P09,2009/07,2,6
M8,P09,2009/08,4,5
M8,P09,2009/09,5,3
M8,P12,2009/01,119,69
M8,P12,2009/10,24,12
M8,P12,2009/11,11,11
M8,P12,2009/12,5,9
M8,P12,2009/02,95,49
M8,P12,2009/03,54,37
M8,P12,2009/04,20,29
M8,P12,2009/05,25,25
M8,P12,2009/06,16,30
M8,P12,2009/07,31,26
M8,P12,2009/08,18,23
M8,P12,2009/09,24,14
M8,P15,2009/01,6,10
M8,P15,2009/10,1,2
M8,P15,2009/11,1,2
M8,P15,2009/12,5,2
M8,P15,2009/02,6,8
M8,P15,2009/03,11,6
M8,P15,2009/04,2,5
M8,P15,2009/05,3,4
M8,P15,2009/06,1,5
M8,P15,2009/07,2,5
M8,P15,2009/08,4,4
M8,P15,2009/09,6,2
M8,P16,2009/01,25,22
M8,P16,2009/10,14,7
M8,P16,2009/11,3,6
M8,P16,2009/12,8,6
M8,P16,2009/02,16,18
M8,P16,2009/03,13,15
M8,P16,2009/04,6,13
M8,P16,2009/05,8,11
M8,P16,2009/06,7,14
M8,P16,2009/07,8,13
M8,P16,2009/08,4,13
M8,P16,2009/09,8,8
M8,P17,2009/01,3,3
M8,P17,2009/10,2,0
M8,P17,2009/11,1,0
M8,P17,2009/12,1,0
M8,P17,2009/03,6,2
M8,P17,2009/05,1,1
M8,P17,2009/06,1,1
M8,P17,2009/09,3,1
M8,P20,2009/01,17,24
M8,P20,2009/10,1,2
M8,P20,2009/11,3,2
M8,P20,2009/12,1,2
M8,P20,2009/02,11,16
M8,P20,2009/03,8,10
M8,P20,2009/04,4,7
M8,P20,2009/05,3,5
M8,P20,2009/06,3,6
M8,P20,2009/07,2,5
M8,P20,2009/08,3,4
M8,P20,2009/09,3,3
M8,P21,2009/01,10,8
M8,P21,2009/10,1,4
M8,P21,2009/11,2,4
M8,P21,2009/12,1,3
M8,P21,2009/02,7,7
M8,P21,2009/03,10,7
M8,P21,2009/04,11,7
M8,P21,2009/05,4,7
M8,P21,2009/06,3,9
M8,P21,2009/07,5,8
M8,P21,2009/08,4,7
M8,P21,2009/09,5,4
M8,P22,2009/01,7,5
M8,P22,2009/10,1,0
M8,P22,2009/12,1,0
M8,P22,2009/02,3,4
M8,P22,2009/03,1,2
M8,P22,2009/04,1,2
M8,P22,2009/06,1,2
M8,P22,2009/07,2,1
M8,P22,2009/08,1,1
M8,P26,2009/01,21,13
M8,P26,2009/10,3,2
M8,P26,2009/11,1,1
M8,P26,2009/02,15,9
M8,P26,2009/03,10,7
M8,P26,2009/04,5,5
M8,P26,2009/05,5,4
M8,P26,2009/06,2,4
M8,P26,2009/07,4,3
M8,P26,2009/08,2,3
M8,P26,2009/09,3,2
M8,P28,2009/01,2,6
M8,P28,2009/10,2,0
M8,P28,2009/12,1,0
M8,P28,2009/02,1,4
M8,P28,2009/03,3,3
M8,P28,2009/04,1,2
M8,P28,2009/05,1,1
M8,P28,2009/06,2,1
M8,P28,2009/07,1,1
M8,P28,2009/09,2,0
M8,P30,2009/01,3,6
M8,P30,2009/11,2,0
M8,P30,2009/02,2,4
M8,P30,2009/03,1,3
M8,P30,2009/06,3,1
M8,P30,2009/08,1,1
M8,P30,2009/09,2,0
M9,P04,2009/01,4,5
M9,P04,2009/12,2,1
M9,P04,2009/02,1,4
M9,P04,2009/03,3,2
M9,P04,2009/04,2,2
M9,P04,2009/08,1,2
M9,P04,2009/09,2,1
M9,P06,2009/01,67,83
M9,P06,2009/10,15,21
M9,P06,2009/11,19,18
M9,P06,2009/12,21,15
M9,P06,2009/02,46,68
M9,P06,2009/03,68,57
M9,P06,2009/04,34,50
M9,P06,2009/05,40,44
M9,P06,2009/06,21,54
M9,P06,2009/07,35,47
M9,P06,2009/08,32,41
M9,P06,2009/09,25,25
M9,P09,2009/01,11,13
M9,P09,2009/10,5,2
M9,P09,2009/12,2,1
M9,P09,2009/02,9,9
M9,P09,2009/03,9,7
M9,P09,2009/04,11,6
M9,P09,2009/05,1,5
M9,P09,2009/06,1,6
M9,P09,2009/07,4,5
M9,P09,2009/08,4,5
M9,P09,2009/09,8,3
M9,P12,2009/01,60,38
M9,P12,2009/10,16,11
M9,P12,2009/11,12,9
M9,P12,2009/12,16,8
M9,P12,2009/02,45,29
M9,P12,2009/03,19,24
M9,P12,2009/04,23,22
M9,P12,2009/05,12,20
M9,P12,2009/06,13,25
M9,P12,2009/07,18,22
M9,P12,2009/08,6,20
M9,P12,2009/09,10,13
M9,P15,2009/01,4,7
M9,P15,2009/10,1,1
M9,P15,2009/11,1,1
M9,P15,2009/02,4,5
M9,P15,2009/03,4,4
M9,P15,2009/04,3,3
M9,P15,2009/05,1,2
M9,P15,2009/06,2,3
M9,P15,2009/08,3,2
M9,P15,2009/09,1,1
M9,P16,2009/01,15,13
M9,P16,2009/10,3,3
M9,P16,2009/11,3,3
M9,P16,2009/12,1,2
M9,P16,2009/02,7,10
M9,P16,2009/03,7,8
M9,P16,2009/04,7,7
M9,P16,2009/05,2,6
M9,P16,2009/06,3,8
M9,P16,2009/07,3,7
M9,P16,2009/08,6,6
M9,P16,2009/09,9,4
M9,P19,2009/01,11,3
M9,P19,2009/11,2,0
M9,P19,2009/12,1,0
M9,P19,2009/02,6,2
M9,P19,2009/03,7,2
M9,P19,2009/04,6,1
M9,P19,2009/05,2,1
M9,P19,2009/06,2,1
M9,P19,2009/07,5,1
M9,P19,2009/08,2,1
M9,P19,2009/09,2,0
M9,P20,2009/01,5,12
M9,P20,2009/10,3,1
M9,P20,2009/12,1,1
M9,P20,2009/02,4,9
M9,P20,2009/03,6,6
M9,P20,2009/04,1,4
M9,P20,2009/05,2,3
M9,P20,2009/06,3,4
M9,P20,2009/07,4,3
M9,P20,2009/08,2,3
M9,P20,2009/09,3,2
M9,P21,2009/01,3,3
M9,P21,2009/10,4,1
M9,P21,2009/11,1,1
M9,P21,2009/12,1,1
M9,P21,2009/02,3,3
M9,P21,2009/03,8,3
M9,P21,2009/04,3,2
M9,P21,2009/05,3,2
M9,P21,2009/06,2,3
M9,P21,2009/07,2,3
M9,P21,2009/09,2,2
M9,P22,2009/01,1,2
M9,P22,2009/10,1,1
M9,P22,2009/11,2,1
M9,P22,2009/12,1,1
M9,P22,2009/03,2,1
M9,P22,2009/04,1,1
M9,P22,2009/05,1,1
M9,P22,2009/07,1,2
M9,P24,2009/01,8,15
M9,P24,2009/10,1,1
M9,P24,2009/12,1,1
M9,P24,2009/02,8,10
M9,P24,2009/03,9,6
M9,P24,2009/04,4,5
M9,P24,2009/05,2,3
M9,P24,2009/06,2,4
M9,P24,2009/07,1,3
M9,P24,2009/08,1,3
M9,P24,2009/09,2,1
